original,short,,,"""History""","""",History,"""","""Politics""",Politics
I enjoy listening to music.,Music,,,"""Psychology""","""",Psychology,"""","""Mathematics""",Mathematics
I prefer.,Slow songs or fast songs,,,"""Politics""","""",Politics,"""","""Biology""",Biology
"Dance, Disco, Funk",Dance,,,"""Mathematics""","""",Mathematics,"""","""Chemistry""",Chemistry
Folk music,Folk,,,"""Physics""","""",Physics,"""","""Medicine""",Medicine
Country,Country,,,"""Internet""","""",Internet,"""","""Law""",Law
Classical,Classical music,,,"""PC""","""",PC,"""","""Religion """,Religion 
Musicals,Musical,,,"""Economy Management""","""",Economy Management,"""","""Countryside, outdoors""","Countryside, outdoors"
Pop,Pop,,,"""Biology""","""",Biology,"""","""Celebrities""",Celebrities
Rock,Rock,,,"""Chemistry""","""",Chemistry,"""","""Fun with friends""",Fun with friends
"Metal, Hard rock",Metal or Hardrock,,,"""Reading""","""",Reading,"""","""Smoking""",Smoking
Punk,Punk,,,"""Geography""","""",Geography,"""","""Alcohol                   """,Alcohol                   
"Hip hop, Rap","Hiphop, Rap",,,"""Foreign languages""","""",Foreign languages,"""","""Workaholism              """,Workaholism              
"Reggae, Ska","Reggae, Ska",,,"""Medicine""","""",Medicine,"""","""Thinking ahead            """,Thinking ahead            
"Swing, Jazz","Swing, Jazz",,,"""Law""","""",Law,"""","""Loss of interest          """,Loss of interest          
Rock n Roll,Rock n roll,,,"""Cars""","""",Cars,"""","""Friends versus money      """,Friends versus money      
Alternative music,Alternative,,,"""Art exhibitions""","""",Art exhibitions,"""","""Criminal damage           """,Criminal damage           
Latin,Latino,,,"""Religion""","""",Religion,"""","""Cheating in school       """,Cheating in school       
"Techno, Trance","Techno, Trance",,,"""Countryside, outdoors""","""","Countryside, outdoors","""","""Number of friends         """,Number of friends         
Opera,Opera,,,"""Dancing""","""",Dancing,"""","""Lying                     """,Lying                     
I really enjoy watching movies.,Movies,,,"""Musical instruments""","""",Musical instruments,"""","""Waiting                   """,Waiting                   
Horror movies,Horror,,,"""Writing""","""",Writing,"""","""Finding lost valuables """,Finding lost valuables 
Thriller movies,Thriller,,,"""Passive sport""","""",Passive sport,"""","""Parents' advice           """,Parents' advice           
Comedies,Comedy,,,"""Active sport""","""",Active sport,"""","""Finances                  """,Finances                  
Romantic movies,Romantic,,,"""Gardening""","""",Gardening,"""","""Entertainment spending   """,Entertainment spending   
Sci-fi movies,Sci-fi,,,"""Celebrities""","""",Celebrities,"""","""Spending on looks         """,Spending on looks         
War movies,War,,,"""Shopping""","""",Shopping,"""","""Folk                     """,Folk                     
Tales,Fantasy/Fairy tales,,,"""Science and technology""","""",Science and technology,"""","""Country                  """,Country                  
Cartoons,Animated,,,"""Theatre""","""",Theatre,"""","""Classical music           """,Classical music           
Documentaries,Documentary,,,"""Fun with friends""","""",Fun with friends,"""","""Hiphop, Rap               ""","Hiphop, Rap               "
Western movies,Western,,,"""Adrenaline sports""","""",Adrenaline sports,"""","""Reggae, Ska""","Reggae, Ska"
Action movies,Action,,,"""Pets""","""",Pets,"""","""Horror""",Horror
History,History,,,"""Flying""","""",Flying,"""",,
Psychology,Psychology,,,"""Storm""","""",Storm,"""",,
Politics,Politics,,,"""Darkness""","""",Darkness,"""",,
Mathematics,Mathematics,,,"""Heights""","""",Heights,"""",,
Physics,Physics,,,"""Spiders""","""",Spiders,"""",,
Internet,Internet,,,"""Snakes""","""",Snakes,"""",,
"PC Software, Hardware",PC,,,"""Rats""","""",Rats,"""",,
"Economy, Management",Economy Management,,,"""Ageing""","""",Ageing,"""",,
Biology,Biology,,,"""Dangerous dogs""","""",Dangerous dogs,"""",,
Chemistry,Chemistry,,,"""Fear of public speaking""","""",Fear of public speaking,"""",,
Poetry reading,Reading,,,"""Smoking""","""",Smoking,"""",,
Geography,Geography,,,"""Alcohol""","""",Alcohol,"""",,
Foreign languages,Foreign languages,,,"""Healthy eating""","""",Healthy eating,"""",,
Medicine,Medicine,,,,,,,,
Law,Law,,,,,,,,
Cars,Cars,,,,,,,,
Art,Art exhibitions,,,,,,,,
Religion,Religion,,,,,,,,
Outdoor activities,"Countryside, outdoors",,,,,,,,
Dancing,Dancing,,,,,,,,
Playing musical instruments,Musical instruments,,,,,,,,
Poetry writing,Writing,,,,,,,,
Sport and leisure activities,Passive sport,,,,,,,,
Sport at competitive level,Active sport,,,,,,,,
Gardening,Gardening,,,,,,,,
Celebrity lifestyle,Celebrities,,,,,,,,
Shopping,Shopping,,,,,,,,
Science and technology,Science and technology,,,,,,,,
Theatre,Theatre,,,,,,,,
Socializing,Fun with friends,,,,,,,,
Adrenaline sports,Adrenaline sports,,,,,,,,
Pets,Pets,,,,,,,,
Flying,Flying,,,,,,,,
"Thunder, lightning",Storm,,,,,,,,
Darkness,Darkness,,,,,,,,
Heights,Heights,,,,,,,,
Spiders,Spiders,,,,,,,,
Snakes,Snakes,,,,,,,,
"Rats, mice",Rats,,,,,,,,
Ageing,Ageing,,,,,,,,
Dangerous dogs,Dangerous dogs,,,,,,,,
Public speaking,Fear of public speaking,,,,,,,,
Smoking habits,Smoking,,,,,,,,
Drinking,Alcohol,,,,,,,,
I live a very healthy lifestyle.,Healthy eating,,,,,,,,
I take notice of what goes on around me.,Daily events,,,,,,,,
I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload,,,,,,,,
I always make a list so I don't forget anything.,Writing notes,,,,,,,,
I often study or work even in my spare time.,Workaholism,,,,,,,,
I look at things from all different angles before I go ahead.,Thinking ahead,,,,,,,,
I believe that bad people will suffer one day and good people will be rewarded.,Final judgement,,,,,,,,
I am reliable at work and always complete all tasks given to me.,Reliability,,,,,,,,
I always keep my promises.,Keeping promises,,,,,,,,
I can fall for someone very quickly and then completely lose interest.,Loss of interest,,,,,,,,
I would rather have lots of friends than lots of money.,Friends versus money,,,,,,,,
I always try to be the funniest one.,Funniness,,,,,,,,
I can be two faced sometimes.,Fake,,,,,,,,
I damaged things in the past when angry.,Criminal damage,,,,,,,,
I take my time to make decisions.,Decision making,,,,,,,,
I always try to vote in elections.,Elections,,,,,,,,
I often think about and regret the decisions I make.,Self-criticism,,,,,,,,
I can tell if people listen to me or not when I talk to them.,Judgment calls,,,,,,,,
I am a hypochondriac.,Hypochondria,,,,,,,,
I am emphatetic person.,Empathy,,,,,,,,
I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive,,,,,,,,
